Bahasa Melayu - Membaca dan Menulis,,,,,,,
,,,,,,,
No,Tajuk,Public Link (Canva embeddable) Pembelajaran,Public Link (Canva embeddable) Latihan Membaca,Public Link (Canva embeddable) Latihan Menulis,Video Link,,
14,Penyelesaian Masalah Tolak,https://learning-team-pandai.github.io/linus-mengira/linuslearning-35/,https://www.canva.com/design/DAHA469lDxo/20yM_aOBwVFWqjYl6xWEnw/view?utm_content=DAHA469lDxo&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=hbaff754a9e,,,,
15,Kenali Nombor Hingga 100,https://learning-team-pandai.github.io/linus-mengira/linuslearning-23/,https://www.canva.com/design/DAHAbfqRxfg/QsoZu3ArsEdf8kAk3HZWHA/view?utm_content=DAHAbfqRxfg&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=h35d7591a36,,,,
16,Nilai Tempat & Nilai Digit Hingga 100,https://learning-team-pandai.github.io/linus-mengira/linuslearning-24/,https://www.canva.com/design/DAHAbdqHpDQ/u5KNuH-977cCb7aORxxhQA/view?utm_content=DAHAbdqHpDQ&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=hf3fd85348d,,,,
17,Anggaran & Pembundaran,https://learning-team-pandai.github.io/linus-mengira/linuslearning-53/,https://www.canva.com/design/DAHAblVbdO0/UPx3LicORhheEwg32dOmcg/view?utm_content=DAHAblVbdO0&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=h002fcbd342,,,,
18,Konsep Darab & Bahagi Asas,https://learning-team-pandai.github.io/linus-mengira/linuslearning-36/,https://www.canva.com/design/DAHA41xJowA/23pWafalbYdny_I-7y-xRQ/view?utm_content=DAHA41xJowA&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=h32cf7a16d3,,,,
19,Operasi Darab 1 Digit,https://learning-team-pandai.github.io/linus-mengira/linuslearning-38/,https://www.canva.com/design/DAHA5HGER_k/na99EewnqPaXYU-E1vckHw/view?utm_content=DAHA5HGER_k&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=hd9e5eb590b,,,,
20,Operasi Darab 2 Digit,https://learning-team-pandai.github.io/linus-mengira/linuslearning-40/,https://www.canva.com/design/DAHA5G2TqpI/jfqNpgLjLZGcWegHbC6eTw/view?utm_content=DAHA5G2TqpI&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=h681a08d853,,,,
21,Operasi Bahagi 1 Digit,https://learning-team-pandai.github.io/linus-mengira/linuslearning-43/,https://www.canva.com/design/DAHA5CWzpxI/0N1ua43Z-H3sIGqURMGsFg/view?utm_content=DAHA5CWzpxI&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=h358000fd8e,,,,
22,Operasi Bahagi 2 Digit,https://learning-team-pandai.github.io/linus-mengira/linuslearning-44/,https://www.canva.com/design/DAHA5HKFn0s/AJVmvN8zXR-kFrMbcYpjXQ/view?utm_content=DAHA5HKFn0s&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=haa5e429f9b,,,,
23,Gabungan Operasi Tambah & Tolak,https://learning-team-pandai.github.io/linus-mengira/linuslearning-73/,https://www.canva.com/design/DAHA5Ni_ZM0/wJ5bT-0kiHzUwwh41p4yCg/view?utm_content=DAHA5Ni_ZM0&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=he7bd89924f,,,,
24,Gabungan Operasi Darab & Bahagi,https://learning-team-pandai.github.io/linus-mengira/linuslearning-74/,https://www.canva.com/design/DAHA5HLyH5c/01Nt2rw5oLPBCi8hbxVfkw/view?utm_content=DAHA5HLyH5c&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=h7e0278909f,,,,
25,Aplikasi BODMAS,https://learning-team-pandai.github.io/linus-mengira/linuslearning-75/,https://www.canva.com/design/DAHA5D4ls8Y/pEQ0QtUdKpDVM1huHA686g/view?utm_content=DAHA5D4ls8Y&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=hc3c22e99be,,,,
26,Kenali Mata Wang & Nilai,https://learning-team-pandai.github.io/linus-mengira/linuslearning-19/,https://www.canva.com/design/DAHA5JGvQQs/USrgaBuLr3Dwi0TCyzAsYQ/view?utm_content=DAHA5JGvQQs&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=h082546941d,,,,
27,Operasi Asas Wang hingga RM10,https://learning-team-pandai.github.io/linus-mengira/linuslearning-20/,https://www.canva.com/design/DAHA5OkAdAw/97d1Uj1RIUjiSLgt9rq_sA/view?utm_content=DAHA5OkAdAw&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=h696d889287,,,,
28,Nilai dan Tukaran Wang RM100,https://learning-team-pandai.github.io/linus-mengira/linuslearning-45/,https://www.canva.com/design/DAHA5GHJEqg/Z9Q34wN9k6U67v1PsIt7uw/view?utm_content=DAHA5GHJEqg&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=h14b2133c43,,,,
29,Tambah Tolak Masalah Wang RM100,https://learning-team-pandai.github.io/linus-mengira/linuslearning-46/,https://www.canva.com/design/DAHA5GZYxMg/cEElxlKe0Qv0nSDzN2Rpxw/view?utm_content=DAHA5GZYxMg&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=h46e1045507,,,,
30,Operasi Tambah Tolak Wang RM1000,https://learning-team-pandai.github.io/linus-mengira/linuslearning-65/,https://www.canva.com/design/DAHA5INWFm4/eZyJaYw9ItbmLITEJeaH6g/view?utm_content=DAHA5INWFm4&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=h7e80d214d2,,,,
31,Operasi Darab Bahagi Wang RM1000,https://learning-team-pandai.github.io/linus-mengira/linuslearning-66/,https://www.canva.com/design/DAHA5GnXX7U/4-ozKtf1PbX_aQkm2yEKjw/view?utm_content=DAHA5GnXX7U&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=h26e0336f57,,,,
